id,replyCount,likeCount,publishedAt,text,translation,authorName,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName,,Pro-Hamas,Pro-Israel,Media Criticism,Anti-Israel,Anti-Hamas,Jihad Discourse,Critisim Other Arab States,,Support for Media
UgwzvFd3JAMcGUUYJLJ4AaABAg,0,1,2024-04-08 03:54:27,"Oh God, show us signs in the children of Zion that are stronger and greater than what was revealed to their forefathers. Oh God, make subservient to the people of Gaza and Palestine the angels of heaven and the soldiers of the earth and those on it, and open for them the doors of Your grace, ease their affairs, strengthen their resolve, and extend their patience... Oh God, honor them and protect them and make a way out for them from every distress. Oh God, Give them victory over those who are hostile to them and open a clear victory for them. Oh God, protect Palestine and the people of Palestine, O God, who do not waste deposits with You.. Oh God, Amen. Oh God, I entrusted you with Palestine and its people, its old and its young, its men and its women, its young men and its girls, its land and its sky, so protect it, O our Lord, from all evil.. Oh God, grant victory to the Muslims in Palestine and make their feet firm, O Lord. May God protect the mujahideen stationed, and may God strengthen them and support them with His victory, O Lord, grant them victory and make them steadfast. Protect them, protect them, and provide them with soldiers from you. Oh God, grant us your victory and promise, O Generous One, Lord of the Worlds.","Oh God, show us signs in the children of Zion that are stronger and greater than what was revealed to their forefathers. Oh God, make subservient to the people of Gaza and Palestine the angels of heaven and the soldiers of the earth and those on it, and open for them the doors of Your grace, ease their affairs, strengthen their resolve, and extend their patience... Oh God, honor them and protect them and make a way out for them from every distress. Oh God, give them victory over those who are hostile to them and open a clear victory for them. Oh God, protect Palestine and the people of Palestine, O God, who do not waste deposits with You. Oh God, Amen. Oh God, I entrusted you with Palestine and its people, its old and its young, its men and its women, its young men and its girls, its land and its sky, so protect it, O our Lord, from all evil. Oh God, grant victory to the Muslims in Palestine and make their feet firm, O Lord. May God protect the mujahideen stationed, and may God strengthen them and support them with His victory, O Lord, grant them victory and make them steadfast. Protect them, protect them, and provide them with soldiers from you. Oh God, grant us your victory and promise, O Generous One, Lord of the Worlds.",@user-um1bd6tw7z,UCvyfI0OWs0sRLMYzz7YzamQ,http://www.youtube.com/@user-um1bd6tw7z,0,,,,,,,,,,,,
UgxFAhnRDsg41Eo2lax4AaABAg,0,1,2024-04-07 15:33:29,الجدار العازل تم دفع ثمنه من قيادات عربيه على حساب شعوبهم حسبنا الله ونعم الوكيل بالقيادة العربية,The separation wall was paid for by Arab leaders at the expense of their people.,@user-vm3fd4js7p,UCuZEoW-HJO0qukBAuFQ9N_w,http://www.youtube.com/@user-vm3fd4js7p,0,,,,,,,,,,,,
UgzXXCWNCBGHvuet5st4AaABAg,0,0,2024-03-29 02:29:23,الفلسطيني لا ينسى دماء الشهداء,The Palestinian does not forget the blood of martyrs,@omaralshaer,UC-AZ8aVCZgR8eBBRfNK00Tg,http://www.youtube.com/@omaralshaer,0,,,,,,,,,,,,
UgxuKfHI4_OT0p7H3Qd4AaABAg,2,1,2024-03-28 17:46:17,طوفان الاقصى كانت عملية غير مدروسة بشكل جيد ومجازفة بارواح المدنين ودفع اهل غزة ثمنها غاليا,"The Al-Aqsa Flood was a poorly thought out operation that risked civilian lives, and the people of Gaza paid dearly for it",@hushamali95,UCJjlYzHhXlWjC0w7WDOMaqw,http://www.youtube.com/@hushamali95,0,,,,,,,,,,,,
UgxuKfHI4_OT0p7H3Qd4AaABAg.A1XmXf2H1kMA21WBDcn8XZ,NA,0,2024-04-10 01:30:22,من هم اهل غزه .هم اخوه المقاومين وامهاتهم وابائهم ونسائهم واطفالهم,"The people of Gaza are the brothers, mothers, fathers, women and children of the resistance fighters.",@JAWADESLAM,UC2grBF84Uv2U58kJEE-3naQ,http://www.youtube.com/@JAWADESLAM,1,UgxuKfHI4_OT0p7H3Qd4AaABAg,@hushamali95,,,,,,,,,,
UgxuKfHI4_OT0p7H3Qd4AaABAg.A1XmXf2H1kMA2G8WVzLRE1,NA,0,2024-04-15 17:52:10,احنا اهل غزة وراضيين ملكاش دخل,"We, the people of Gaza, have nothing to do with",@abedyaseen7854,UC9bte7C8ygLX0oeYenXeyKQ,http://www.youtube.com/@abedyaseen7854,1,UgxuKfHI4_OT0p7H3Qd4AaABAg,@hushamali95,,,,,,,,,,
UgxhzooHw8bkLJe2_jt4AaABAg,0,0,2024-03-27 17:03:56,ماشاءاللہ بہت ہی خوبصورت 🎉🎉🎉,Masha'Allah baht baht ہی Khobsourt 🎉🎉🎉🎉🎉,@shahfahad1443,UCdUQJnUG4tJVnIR9W-ihbZg,http://www.youtube.com/@shahfahad1443,0,,,,,,,,,,,,
UgzICZWzW_7lyh9SIh54AaABAg,0,0,2024-03-27 17:02:24,✌️🤲💞,✌️🤲💞,@shahfahad1443,UCdUQJnUG4tJVnIR9W-ihbZg,http://www.youtube.com/@shahfahad1443,0,,,,,,,,,,,,
UgzNIlMMgrI4bk-lZIR4AaABAg,0,1,2024-03-13 09:28:01,❤❤❤🇵🇸🇵🇸🇵🇸💪💪💪🙏🙏🙏,❤❤❤❤🇵🇸🇵🇸🇵🇸💪💪💪🙏🙏🙏🙏,@abdallahhamed6698,UCk6srgop2oR-Tfihlnd6HPg,http://www.youtube.com/@abdallahhamed6698,0,,,,,,,,,,,,
UgxyVjaIO505lSNnTQd4AaABAg,0,1,2024-02-12 23:49:30,الحالة الانهزامية التي تتلبس،في صعاليك المنطقة والاكتفاء بعدم المواجهة العسكرية مع اسراءيل ستنتهي قريبا نتيجة الاحساس بالملل من القادة الاسراءيليين والملل من الغطرسة الاسراءيلية,"The defeatist state of the region's Zionists, who are content with not confronting Israel militarily, will soon come to an end as a result of boredom with Israeli leaders and Israeli arrogance",@mohamadshayah8636,UCp-1J8pnjc4o5cpWjFyz3WQ,http://www.youtube.com/@mohamadshayah8636,0,,,,,,,,,,,,
UgxUTc-KGG4tyffZHyR4AaABAg,0,1,2024-02-10 13:34:42,فإن نسي الشعب الفلسطيني من خانه فاالله لاينسى ولاحولاولاقوةإلاباالله العلي العظيم ستنتصير الموقاومة رغمن عن اليهود ونصارى والمنافقين أمممممممميييننن,"If the Palestinian people forget who betrayed them, God will not forget, and there is no strength except for God Almighty, the Mouqawama will be victorious despite the Jews, Christians, and hypocrites.",@SedikOff-vg2qt,UChCefpgFRBgObgK2eCnjwkQ,http://www.youtube.com/@SedikOff-vg2qt,0,,,,,,,,,,,,
UgyrVC39gsXaNrnAPjF4AaABAg,0,1,2024-02-10 04:57:24,Long live Free Palestine 🇵🇸,Long live Free Palestine 🇵🇸,@basharabduljalil4301,UComJ_FWVM4b78q6KotF9R-Q,http://www.youtube.com/@basharabduljalil4301,0,,,,,,,,,,,,
UgwhwggbHjjI7LKviWh4AaABAg,0,0,2023-11-09 09:48:40,302120,302120,@DrissB-og6sc,UC4LnWerIcW6zhFqFQZ6y2OA,http://www.youtube.com/@DrissB-og6sc,0,,,,,,,,,,,,
UgwNcbeTyNBhlcKw8Ot4AaABAg,0,0,2023-11-06 22:36:16,"22,6£6,2",22.6£6.2,@DrissB-og6sc,UC4LnWerIcW6zhFqFQZ6y2OA,http://www.youtube.com/@DrissB-og6sc,0,,,,,,,,,,,,
UgxibRn4dJcf90qP68B4AaABAg,0,0,2023-11-04 12:35:09,العرب لا يفهمون واذا فهموا سرعان ما ينسون.,"Arabs don't understand, and if they do, they quickly forget.",@jamalnejari1454,UCNluRt-rOXbzp8ADydBKvlQ,http://www.youtube.com/@jamalnejari1454,0,,,,,,,,,,,,
Ugw5fdLSYXIobMc7tXF4AaABAg,0,1,2023-11-04 06:16:56,طز في حماس حمير اليهود,"Screw Hamas, donkeys of the Jews",@adeladel-zg6dj,UCnz1Dmcbs1pgkElxtr4ApQg,http://www.youtube.com/@adeladel-zg6dj,0,,,,,,,,,,,,
Ugwrrk4Cu9th1UfyRFZ4AaABAg,0,0,2023-10-28 02:47:33,قناة صهيونية,Zionist channel,@Malinois-Word,UC_DPL0tkh2mbOdDUv2-Dkzg,http://www.youtube.com/@Malinois-Word,0,,,,,,,,,,,,
UgwTNvcVo8lLIOZ7zCN4AaABAg,0,2,2023-10-25 04:27:04,vive.hamas,vive.hamas,@user-id2fk4ru9u,UCSTEWk_jrYaFkVYqdN20LGw,http://www.youtube.com/@user-id2fk4ru9u,0,,,,,,,,,,,,
UgxSVL94NGwtNqJGyr54AaABAg,0,0,2023-10-24 11:08:30,Allah hu Akbar semoga Mujahidin di lindungi Allah 🇮🇩🇵🇸♥️,Allah hu Akbar semoga Mujahidin di lindungi Allah 🇮🇩🇵🇸♥️,@erzanropik1371,UCUspHqsWjDxwQKmCup7SB9Q,http://www.youtube.com/@erzanropik1371,0,,,,,,,,,,,,
UgyyC1BzxiwrOZ4RqEB4AaABAg,0,2,2023-10-23 16:02:19,لا أؤيد التصوير لانه يجعل المقاومة في فخ وتتبع عبر التقنيين الاسراءيليين,I'm not in favor of filming because it makes the resistance trapped and tracked by Israeli technicians,@ozilmouha3677,UC86L8SCeMzrB1qLLaBbBhvA,http://www.youtube.com/@ozilmouha3677,0,,,,,,,,,,,,
UgyH9qOFFHkySvNlWpd4AaABAg,0,0,2023-10-23 14:08:42,Allah younserkoum ya osoud palastine ya abtale laksa allah younserkoum 3ala lkawm adalimine ya abtale loma ya rijel l3iza wlkarama tahiya min ljazayer,Allah younserkoum ya osoud palastine ya abtale laksa allah younserkoum 3ala lkawm adalimine ya abtale loma ya rijel l3iza wlkarama tahiya min ljazayer,@siast1962,UCBO_UWLy6tcWlZ6j4pfk2Aw,http://www.youtube.com/@siast1962,0,,,,,,,,,,,,
UgyVp1_jlf1D4U0Cnnd4AaABAg,0,1,2023-10-18 23:43:36,من محاريب الآفاق نقلت سنةسبع وستين بعدألف للهجره / إذامابلغت أواخرربيع ..ووافيت ذالعام أول جماد..فحاذرمن الأمرين الخلاف..ومن خصمك الأعتداء في البلاد..وودع زمانك وسرفي حماك وأحبابك المخلصين الوداد..وراقب الوعدالكريم الذي .. وعدفي الكتاب جميع العباد.,"From the niches of the horizons, I transferred in the year sixty-seven after a thousand for the Hijrah / If you reached the end of spring and you died in the year first Friday ... Beware of the two matters of discord ... and of your opponent's aggression in the country ... Say goodbye to your time and walk in your protection and your faithful loved ones ... Watch for the honorable promise that ... promised in the book to all the slaves ...",@alifsyl224,UCbUjmlDMbVvwJPB5pLec4hQ,http://www.youtube.com/@alifsyl224,0,,,,,,,,,,,,
UgzkmK0dq-3oaQouSyN4AaABAg,0,0,2023-10-16 15:55:12,اهم شي تنتبهون من الامارات هم اخطر من اليهود لانهم اخبث واذا تبحث رح تحصل العرق منهم,"The most important thing to watch out for is the Emirates, they are more dangerous than the Jews because they are more malicious, and if you search, you will get the race from them",@a7md66,UC3Y3xJowv2h-cg5-D3pbHHg,http://www.youtube.com/@a7md66,0,,,,,,,,,,,,
UgzJilDlJ4fqLEX-f694AaABAg,0,0,2023-10-16 15:02:04,كل ردود الفعل هنا من العرب السعداء والمتعطشين للدماء - فرحتكم مؤقتة - صحيح أننا فوجئنا - ولكن لحسن الحظ أن الشرق الأوسط الجديد سيكون خاليا من كل شركم الحبيب وبعون الله سيختفي جميع المسلمين من العالم - ستُمحى غزة. سيتم القضاء على حماس، سيتم القضاء على هيب الله وستكون إيران أيضًا في الطريق - إسرائيل هي أقوى دولة في العالم وهي منتصرة,"All the reactions here are from happy and bloodthirsty Arabs - your joy is temporary - it is true that we were surprised - but fortunately the new Middle East will be free of all your beloved evil and with God's help all Muslims will disappear from the world - Gaza will be wiped out. Hamas will be eliminated, Hezbollah will be eliminated and Iran will also be on the way - Israel is the most powerful country in the world and it is victorious",@nisimdahan3009,UCQcjYhFeFaI8hGGgs8w_pxQ,http://www.youtube.com/@nisimdahan3009,0,,,,,,,,,,,,
UgyopZoTguGqJyNS0bB4AaABAg,0,0,2023-10-16 02:10:15,من المملكه والدم يمني الف تحيه لاخوننا الفلسطينيين,"From the Kingdom and Yemeni blood, a thousand greetings to our Palestinian brothers",@user-ec2vo2fq7h,UC6Vn70LE4MN7rb6MAJJqr4w,http://www.youtube.com/@user-ec2vo2fq7h,0,,,,,,,,,,,,
Ugw2RVR73eVB2OXtHCh4AaABAg,0,3,2023-10-15 15:07:34,النصر لنا بإذن الله تعالى تحيا فلسطين الحبيبة حرة 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,"Victory is ours, God willing, long live our beloved Palestine, free 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸",@user-po6jr9lu3l,UCZMdcK4aFOBvJD_URmbrP4Q,http://www.youtube.com/@user-po6jr9lu3l,0,,,,,,,,,,,,
Ugx0cdcNS5hMzMRho3l4AaABAg,0,0,2023-10-14 07:29:09,الإمارات تدعم إسرائيل وتدعم الدعاره,UAE supports Israel and subsidizes prostitution,@user-nh4yz3de9b,UC60VJZ_5N_PKvy7OjypDZvQ,http://www.youtube.com/@user-nh4yz3de9b,0,,,,,,,,,,,,
Ugyk-6xSyHBRDOhaYQR4AaABAg,0,0,2023-10-13 15:19:05,الهجره لاسراءيل مش لفلسطين,"Immigration to Israel, not Palestine",@user-db2ye2fl4f,UCioifYFHP8RuEovuWEcT4-Q,http://www.youtube.com/@user-db2ye2fl4f,0,,,,,,,,,,,,
Ugzt0GISHl_rs2KShgJ4AaABAg,0,1,2023-10-12 19:12:24,Palestine vivra Palestine vaincra 🇵🇸 ❤,Palestine vivra Palestine vaincra 🇵🇸 ❤,@louitsme3104,UCqKsr9KBzZwle9q70cx-P5A,http://www.youtube.com/@louitsme3104,0,,,,,,,,,,,,
UgyfeFHPldeTqsRQ8gx4AaABAg,0,0,2023-10-12 08:54:29,انا محمد من العراق ، اشاهد هذا المقطع والدموع تنزل ، ولا استطيع السيطرة عليها من الحزن على فلسطين ومن الأمل أنها ان شاء الله ستتحرر من جديد ❤ اللهم أنصر فلسطين ❤,"I'm Mohammed from Iraq, I'm watching this video and tears are falling, and I can't control them out of sadness for Palestine and hope that, God willing, it will be liberated again ❤ O God, victory for Palestine ❤",@user-xz8yi7fx2r,UCJ_-ibObLbFASpC0SLkXAXg,http://www.youtube.com/@user-xz8yi7fx2r,0,,,,,,,,,,,,
UgzyIpJl_XMzpHfO5ah4AaABAg,0,7,2023-10-12 05:42:32,من المغرب 🇲🇦🇲🇦🇲🇦اللهم انصر اخواننا المسلمين في فلسطين وانصر الاسلام والمسلمين.🇲🇦🇲🇦🇲🇦,From Morocco 🇲🇦🇲🇦🇲🇦اللهم Victory to our Muslim brothers in Palestine and victory to Islam and Muslims. 🇲🇦🇲🇦🇲🇦,@AnasZizo-hw5ny,UCdNOfUHEJyduIus_M6Wra-w,http://www.youtube.com/@AnasZizo-hw5ny,0,,,,,,,,,,,,
Ugx7Fs-svO57hft-EHt4AaABAg,0,0,2023-10-12 01:48:15,طايره عموديه اكثر فعاليه في حرب اسرائيل,A More Effective Vertical Airplane in Israel's War,@abas1413,UCnnjeuJmKJKoLkI7R8d6s3w,http://www.youtube.com/@abas1413,0,,,,,,,,,,,,
UgwnIkuUx4NlkeEKFtV4AaABAg,0,12,2023-10-11 22:03:04,تحياتي من الجزائر إلى أهل فلسطين الحبيبة,Greetings from Algeria to the people of Palestine,@belabacciibrahim73,UCWN6RhONDUM1KX1zBG7Bs3g,http://www.youtube.com/@belabacciibrahim73,0,,,,,,,,,,,,
Ugx5UZBZb8Jym_4zd-h4AaABAg,0,0,2023-10-11 20:49:54,يا حكام الامارات فرعون زال وانتم ستزولون واسرائيل زائلة ان شاء الله اما انتم سيذكركم التاريخ بابشع العبارات يا خونة وجهنم امامكم الله ينتقم منكم..... تفه. عليكم,"O rulers of the Emirates, Pharaoh is gone, and you will be gone, and Israel is gone, God willing, but you will be remembered in history in the worst terms, traitors, and hell is in front of you, God will avenge you. ..... Pfft. On you",@chhadiismail0095,UC-WOs0DS7OjesIh2s9DK5jw,http://www.youtube.com/@chhadiismail0095,0,,,,,,,,,,,,
UgzljK3gCfFGXyGFmvN4AaABAg,0,0,2023-10-11 20:12:06,السلام عليكم يمكن ان تشتري اي شئ تحلم به بأموالك ولكن لا تستطيع ان تكون رجلا فهذه الصفة يتربى عليها الطفل ويجدها في والده وتكون الظروف سببًا في صقلها فمرحبا برجال فلسطين الحبيبة فمن عدن الى بغداد الى القدس هنالك جذور تمنع التطبيع بل تمقته. والله العظيم اثلجتم صدورنا .,"Peace be upon you, you can buy anything you dream of with your money, but you cannot be a man, this quality is raised by the child and finds it in his father, and circumstances are a reason to refine it, so welcome the men of our beloved Palestine, from Aden to Baghdad to Jerusalem, there are roots that prevent normalization and even abhor it. By God Almighty, you have cheered us up.",@shakeshake7533,UCzVtfiBKkWq8as5_edtQsyA,http://www.youtube.com/@shakeshake7533,0,,,,,,,,,,,,
Ugywufceg8i8JFj2WVZ4AaABAg,0,1,2023-10-11 19:32:03,"SAUDAÇÕES A ISRAEL, força POVO DE DEUS, POVO DE DAVI! O mal NÃO VENCERÁ, o HAMAS PRECISA SER ELIMINADO e o POVO PALESTINO DE BEM ser colocado no poder com um tratado de PAZ DIGNO para ambos! BASTA DE ATROCIDADES NO MUNDO","SAUDAÇÕES A ISRAEL, força POVO DEUS, POVO DE DAVI! O mal NÃO VENCERÁ, o HAMAS PRECISA SER ELIMINADO and o POVO PALESTINO DE BEM ser colocado no poder com um tratado de PAZ Digno para ambos! BASTA DE ATROCIDADES NO MUNDO",@mauboncall,UChUv3-YEKHSbBZJL3qJ2abw,http://www.youtube.com/@mauboncall,0,,,,,,,,,,,,
Ugykt6szkFoofBBenop4AaABAg,0,0,2023-10-11 16:39:35,Israel is an illegitimate state and a bulwark in the Middle East. There will be no solution to this problem until an independent Palestinian state is recognized.🇵🇸🇵🇸🇵🇸🇵🇸🌹🌹🇧🇩🇧🇩🇧🇩🇧🇩✊✊✊✊✊,Israel is an illegitimate state and a bulwark in the Middle East. There will be no solution to this problem until an independent Palestinian state is recognized.🇵🇸🇵🇸🇵🇸🇵🇸🌹🇧🇩🇧🇩🇧🇩🇧🇩✊✊✊✊✊,@imranhossain2592,UCPGFiljUg8CHs7SPqivdjeA,http://www.youtube.com/@imranhossain2592,0,,,,,,,,,,,,
UgygF6a9E2X-i9NwMvx4AaABAg,0,0,2023-10-11 16:38:45,🇵🇸🇵🇸🇵🇸🇵🇸❤❤,🇵🇸🇵🇸🇵🇸🇵🇸❤❤,@raisa1084,UCiBMz13K8sBcRL86aNm6TiA,http://www.youtube.com/@raisa1084,0,,,,,,,,,,,,
UgxOSLIrNpBcP5TkWL94AaABAg,0,0,2023-10-11 15:26:30,🇵🇸🇵🇸🇵🇸🇩🇿🇩🇿🇩🇿🇩🇿,🇵🇸🇵🇸🇵🇸🇩🇿🇩🇿🇩🇿🇩🇿,@jamsjams1356,UC1Qu1HwvQHYxIl-TtGGuG-w,http://www.youtube.com/@jamsjams1356,0,,,,,,,,,,,,
UgxSJQ1RhCzp4NLKM3B4AaABAg,0,0,2023-10-11 14:38:48,الإمارات حزمة تحالفوا مع اليهود,UAE packs an alliance with the Jews,@MiriamaHadjou-jy3sp,UCUeK8M3GjzEXZN4bilZ4YMQ,http://www.youtube.com/@MiriamaHadjou-jy3sp,0,,,,,,,,,,,,
UgybG4301zeuTLkt_114AaABAg,0,0,2023-10-11 13:18:36,غزة ستحترق في الجحيم !!!!!,Gaza will burn in hell !!!!!,@user-gj4wh3ou2h,UCC1ZPY101-Bahv9msX2wdoA,http://www.youtube.com/@user-gj4wh3ou2h,0,,,,,,,,,,,,
Ugyfktl9iXguEHyI0Ul4AaABAg,0,0,2023-10-11 11:27:04,لن يدعوك الله أبدًا إلى اتباع طريق العنف... فافهم أن أي شيء يخبرك بالقتل والتكاتف والتعذيب ليس من الله..... هل سيكون هناك بلد نموذجي يحكم فيه الجميع كأخوة دون أي أحد؟ الطائفة أو الكراهية الدينية... حينها سيكون هذا العالم أفضل... .الدين لصالح الإنسان...,"God will never call you to follow the path of violence... Understand that anything that tells you to kill, band together and torture is not from God..... Will there be a model country where everyone will be governed as brothers without any caste or religious hatred... Then this world will be a better world... Religion in favor of man.",@anuinfinity153,UC7k5xZWyROcZt5pmp5a6lKw,http://www.youtube.com/@anuinfinity153,0,,,,,,,,,,,,
